vacancy_id,salary_from,salary_to,experience,city,employment_type
37351176,60000.0,70000.0,Нет опыта,Екатеринбург,Удалённая работа
53503796,140000.0,210000.0,От 1 года до 3 лет,Москва,Полная занятость
20319022,,,Более 6 лет,Москва,Полная занятость
40619665,145000.0,215000.0,От 1 года до 3 лет,Нижний Новгород,Полная занятость
14675717,,,Более 6 лет,Москва,Полная занятость
21241867,60000.0,70000.0,Нет опыта,Москва,Стажировка
45942522,245000.0,,От 1 года до 3 лет,Москва,Удалённая работа
50967567,115000.0,150000.0,От 1 года до 3 лет,Санкт-Петербург,Полная занятость
43647055,130000.0,190000.0,От 1 года до 3 лет,Санкт-Петербург,Частичная занятость
19479051,,,От 3 до 6 лет,Москва,Частичная занятость
35215297,80000.0,85000.0,Нет опыта,Москва,Полная занятость
27424979,,,Более 6 лет,Екатеринбург,Удалённая работа
38485845,70000.0,85000.0,От 3 до 6 лет,Нижний Новгород,Полная занятость
24200525,150000.0,205000.0,От 3 до 6 лет,Москва,Полная занятость
78028038,455000.0,595000.0,Более 6 лет,Москва,Полная занятость
11312057,50000.0,60000.0,Нет опыта,Екатеринбург,Полная занятость
19321264,,,От 3 до 6 лет,Москва,Удалённая работа
16613981,60000.0,,От 1 года до 3 лет,Екатеринбург,Полная занятость
93165714,70000.0,105000.0,От 1 года до 3 лет,Новосибирск,Полная занятость
94503377,205000.0,270000.0,От 3 до 6 лет,Санкт-Петербург,Полная занятость
51519918,115000.0,160000.0,От 1 года до 3 лет,Санкт-Петербург,Полная занятость
41168318,125000.0,170000.0,От 3 до 6 лет,Москва,Частичная занятость
42320932,,115000.0,От 1 года до 3 лет,Екатеринбург,Полная занятость
38364097,60000.0,80000.0,От 1 года до 3 лет,Нижний Новгород,Удалённая работа
11222258,80000.0,115000.0,От 3 до 6 лет,Москва,Полная занятость
14118067,155000.0,215000.0,От 1 года до 3 лет,Санкт-Петербург,Удалённая работа
34807682,,,Более 6 лет,Москва,Удалённая работа
55143499,,,Более 6 лет,Москва,Полная занятость
35523321,,,От 3 до 6 лет,Нижний Новгород,Удалённая работа
25367518,,,Более 6 лет,Москва,Полная занятость
83248154,65000.0,95000.0,От 1 года до 3 лет,Нижний Новгород,Полная занятость
34471426,480000.0,765000.0,От 1 года до 3 лет,Санкт-Петербург,Частичная занятость
81998870,,,От 3 до 6 лет,Москва,Удалённая работа
67009227,615000.0,850000.0,От 1 года до 3 лет,Москва,Удалённая работа
16986032,,,Более 6 лет,Москва,Удалённая работа
11965817,205000.0,305000.0,От 3 до 6 лет,Москва,Удалённая работа
39974941,,,От 3 до 6 лет,Санкт-Петербург,Частичная занятость
77119651,100000.0,115000.0,Нет опыта,Москва,Полная занятость
87093990,55000.0,65000.0,Нет опыта,Санкт-Петербург,Удалённая работа
41853510,,,Более 6 лет,Москва,Полная занятость
22400474,75000.0,85000.0,Нет опыта,Москва,Полная занятость
61052731,195000.0,325000.0,От 1 года до 3 лет,Москва,Полная занятость
56105384,215000.0,345000.0,От 1 года до 3 лет,Санкт-Петербург,Удалённая работа
63256357,,,От 1 года до 3 лет,Москва,Полная занятость
28313361,,,Более 6 лет,Москва,Удалённая работа
28895477,,,От 3 до 6 лет,Екатеринбург,Удалённая работа
18208283,390000.0,495000.0,Более 6 лет,Санкт-Петербург,Полная занятость
42225399,60000.0,85000.0,От 3 до 6 лет,Казань,Полная занятость
38411682,,140000.0,От 3 до 6 лет,Казань,Полная занятость
43996132,115000.0,160000.0,От 3 до 6 лет,Санкт-Петербург,Удалённая работа
85823350,100000.0,135000.0,От 3 до 6 лет,Новосибирск,Полная занятость
98461752,,,От 1 года до 3 лет,Москва,Полная занятость
47166901,,,Более 6 лет,Екатеринбург,Полная занятость
69361794,95000.0,140000.0,От 3 до 6 лет,Москва,Полная занятость
27366894,615000.0,,От 1 года до 3 лет,Москва,Полная занятость
75161799,175000.0,235000.0,От 1 года до 3 лет,Москва,Полная занятость
64538726,125000.0,165000.0,От 1 года до 3 лет,Москва,Удалённая работа
33910566,170000.0,240000.0,От 3 до 6 лет,Москва,Полная занятость
60635001,125000.0,175000.0,От 1 года до 3 лет,Москва,Полная занятость
37054421,150000.0,220000.0,От 3 до 6 лет,Санкт-Петербург,Полная занятость
29500194,120000.0,175000.0,От 3 до 6 лет,Санкт-Петербург,Полная занятость
54135198,285000.0,405000.0,От 1 года до 3 лет,Москва,Полная занятость
52250474,190000.0,245000.0,От 3 до 6 лет,Санкт-Петербург,Полная занятость
35528716,,325000.0,Более 6 лет,Екатеринбург,Удалённая работа
16729070,45000.0,50000.0,Нет опыта,Москва,Стажировка
10610965,85000.0,120000.0,От 1 года до 3 лет,Новосибирск,Полная занятость
49105903,90000.0,100000.0,Нет опыта,Санкт-Петербург,Полная занятость
69315879,110000.0,150000.0,От 3 до 6 лет,Нижний Новгород,Удалённая работа
51349329,45000.0,50000.0,Нет опыта,Екатеринбург,Стажировка
23809227,40000.0,45000.0,Нет опыта,Новосибирск,Стажировка
46864573,125000.0,170000.0,От 3 до 6 лет,Москва,Полная занятость
15832988,140000.0,180000.0,Более 6 лет,Екатеринбург,Удалённая работа
52279638,190000.0,280000.0,От 3 до 6 лет,Москва,Удалённая работа
48386362,250000.0,350000.0,От 1 года до 3 лет,Москва,Удалённая работа
97015592,,,Более 6 лет,Москва,Удалённая работа
67828550,180000.0,265000.0,От 1 года до 3 лет,Новосибирск,Удалённая работа
36673769,220000.0,325000.0,От 3 до 6 лет,Москва,Частичная занятость
23747888,185000.0,235000.0,От 3 до 6 лет,Санкт-Петербург,Удалённая работа
48429297,165000.0,130000.0,От 3 до 6 лет,Екатеринбург,Полная занятость
77237787,360000.0,515000.0,Более 6 лет,Москва,Полная занятость
45476300,,70000.0,Нет опыта,Казань,Полная занятость
84115300,,,От 3 до 6 лет,Москва,Удалённая работа
80470498,90000.0,120000.0,От 1 года до 3 лет,Новосибирск,Удалённая работа
79843503,,,От 1 года до 3 лет,Екатеринбург,Полная занятость
80794899,,,От 3 до 6 лет,Новосибирск,Удалённая работа
